gene	Npart
FLYWCH1	5
GMEB2	5
RNF38	5
CSNK1A1	5
SMARCE1	5
BRD1	5
IFT70B	5
CIRBP-AS1	5
SAMD11	5
MIR548H1	5
ZC3H18	5
MICALL1	5
SYPL1	5
PITPNM2	5
UNKL	5
SDE2	5
PHIP	5
BPHL	5
POU5F1P4	5
NUP98	5
MYSM1	5
821D11.7|RP5	5
C3orf71	5
EDEM3	5
RPA1	5
DLD	5
UIMC1	5
MIR4753	5
ESYT2	5
SKI	5
MTFMT	5
SRSF4	5
SLC6A13	5
MIR6786	5
TALDO1	5
TAF2	5
FANCA	5
USP25	5
ZNF750	5
TGDS	5
XPO6	5
LRPPRC	5
SEC14L1	5
MRPL12	5
MTDH	5
MAP3K2	5
GIGYF2	5
ZCCHC7	5
DYNC2I2	5
WASHC4	5
IPO8	5
MIR579	5
PIEZO1	5
AKAP13	5
SDHA	5
TAX1BP1	5
AFF4	5
KNTC1	5
SCYL1	5
ACAT1	5
TRPC4AP	5
USP40	5
YWHAQ	5
LINC02601	5
LINC02593	5
MIR3133	5
MIR5587	5
C1QTNF12	5
USP14	5
SPG7	5
KLHL10	5
CRKL	5
INGX	5
PLPP5	5
HBII-251|SNORD85	5
MIR612	5
STK38	5
SLF2	5
NEAT1	5
KMT2E	5
CYTH1	5
NMT1	5
ENDOV	5
MIR6804	5
ATP2C1	5
ZNF250	5
NLK	5
ST13	5
KMT5B	5
ARHGDIA	5
VRK3	5
RCN3	5
SSU72	5
MIR941-4	5
CAPZB	5
DPF2	5
ASXL1	5
SELENOO	5
ANKRD13D	5
GPN1	5
SF3A2	5
FAAP100	5
GOLGA1	5
PUM2	5
UTRN	5
SLBP	5
SPECC1L	5
MOB3A	5
SMARCC1	5
IREB2	5
CLPX	5
MIR6818	5
YBX1	5
SUN2	5
PUM1	5
VPS51	5
ACTN4	5
MIR3175	5
TOP2B	5
LOC339059	5
ACSF3	5
RPAIN	5
HDLBP	5
WDR5B-DT	5
MSANTD1	5
ZNF589	5
SPATC1	5
MIR3195	5
MSLN	5
SIN3A	5
CNTRL	5
RAPGEF6	5
ERVK3-1	5
CD69	5
RANBP3	5
GPCPD1	5
TSC2	5
UBE2Q2	5
NEK4	4
SGPL1	4
NCOA6	4
JOSD1	4
C2CD3	4
STXBP5-AS1	4
MAFA	4
CSPG5	4
MSRB1	4
CLK4	4
ZNF638	4
ZNF143	4
PDE8A	4
SUPT5H	4
MYCBP2-AS1	4
TM2D3	4
SCFD1	4
ATXN2	4
SNORA50A	4
FXYD5	4
ERCC6L2-AS1	4
MARK4	4
STK17A	4
PRP4K	4
NCOA3	4
PHF20	4
MIR6874	4
UVSSA	4
KMT2A	4
PPTC7	4
NME3	4
ITCH	4
H2AZ2	4
PHAF1	4
SENP6	4
MPHOSPH9	4
ANKRD52	4
MON2	4
MIDN	4
VPS28	4
STK4	4
PIAS1	4
CBLB	4
FERMT3	4
TRIM33	4
YWHAZ	4
CENPBD1P	4
YWHAB	4
P2RX2	4
ASXL2	4
FBXW2	4
ATF1	4
IGF2BP1	4
E4F1	4
XPO5	4
FKBP5	4
YTHDF1	4
WASF2	4
ACTG1	4
AP2B1	4
TONSL	4
RPS13	4
EWSR1	4
C20orf144	4
SACM1L	4
GET4	4
EEF1AKMT2	4
METTL16	4
SMC5	4
SGTA	4
SUN1	4
HNRNPAB	4
SCARNA10	4
BTBD1	4
DDX41	4
PCNX3	4
UBE2H	4
GNAI2	4
EPS15	4
CSNK1G2-AS1	4
PCGF3-AS1	4
GRB2	4
MIR3944	4
FBXO42	4
GPS1	4
GSN	4
SNORA30	4
MACO1	4
MIR4673	4
RUVBL1	4
DNAJC5	4
SNAPC4	4
C15orf40	4
CDC42SE2	4
SETD9	4
GLCCI1	4
ACOX1	4
HNRNPA2B1	4
DCUN1D2	4
PCNX1	4
RNGTT	4
NCAPD3	4
HNRNPR	4
MIR4745	4
JMY	4
LONP1	4
SNORD62A	4
ZBTB8OS	4
PICALM	4
SCAPER	4
OGDH	4
NDUFV1-DT	4
CLUAP1	4
SH3BP5-AS1	4
SYNGR3	4
EYA3	4
PELI1	4
ZMYM4-AS1	4
UBE3C	4
RRP7BP	4
WDR45B	4
ZNF207	4
RERE	4
SMCHD1	4
R3HDM2	4
NDUFAF8	4
PRR7	4
PSEN1	4
DBNDD1	4
VPS53	4
USP47	4
RBL1	4
TTC9C	4
ANGPTL7	4
CUL4A	4
SLC25A19	4
