gene	span_count	hit_count
RPS6KA5	1	5
BNIP3	1	2
ZNF778	1	1
DKFZP586I1420	1	4
FAM234A	1	6
DDX47	1	1
YTHDF2	1	2
UNC93A	1	2
ZNF890P	1	2
EXOSC4	1	1
ITPKB	1	8
MIR7112	1	3
SH3GL1	1	2
RNVU1-20	1	6
TMBIM1	1	1
ECI1	1	2
MIR620	1	2
NR1D1	1	1
SBF1	1	11
NDC80	1	4
LINC01140	1	1
MIR7641-2	1	2
PTTG1IP	1	1
PPAPDC1B	1	8
BANP	1	1
AGAP3	1	3
MIR9-1	1	3
SOX15	1	1
PPP3CC	1	2
SACM1L	1	2
SNORA17	1	8
PSMG1	1	23
MIR339	1	1
FAM160B2	1	9
AGPAT3	1	3
CEP78	1	6
MTUS1	1	3
CDC42BPG	1	2
PNKD	1	1
GS1-279B7.1	1	5
MIR6815	1	2
GRINA	1	9
CDKN2D	1	5
VTI1A	1	1
RRN3P2	1	4
LPAR6	1	3
XPO6	1	2
STK17A	1	1
PARP10	1	4
SEPT2	1	8
CDK3	1	2
DIP2A-IT1	1	2
DDX3X	1	1
MOK	1	1
PROCA1	1	1
USP6NL	1	3
GSE1	1	1
RNVU1-6	1	1
SNORA28	1	5
SMURF1	1	1
COPG1	1	1
SCX	1	12
KLHL15	1	1
MIR6848	1	1
CTRB2	1	1
C12orf56	1	1
MIR3180-5	1	3
MTIF2	1	4
DUX4	1	1
RARRES3	1	8
MYO5A	1	1
ADAMTSL4-AS1	1	4
LOC100506860	1	3
TNKS	1	1
RAB11A	1	1
TRAT1	1	3
TRIM7	1	20
TRIM8	1	2
SLC25A39	1	2
ETFA	1	1
PUF60	1	9
CERK	1	1
SLC16A10	1	20
AGFG2	1	2
CELF1	1	3
CIC	1	3
PLEKHA4	1	6
NCAPG2	1	1
PTDSS2	1	2
DOT1L	1	1
TBL1XR1	1	1
XRCC3	1	1
C16orf72	1	1
NOTCH1	1	1
EMB	1	1
STK11	1	1
RNF10	1	1
PPP6R1	1	1
GLG1	1	10
USE1	1	1
NME2	1	5
TBC1D24	1	1
VPS37B	1	2
PRDM2	1	4
UBE2D2	1	1
S100B	1	1
CC2D1A	1	2
MIR550B1	1	9
CD69	1	1
FBXL12	1	1
VTRNA1-3	1	1
MKL1	1	2
ZC3HAV1	1	1
C12orf4	1	2
TICAM1	1	1
MIR6855	1	5
C1orf189	1	1
NFATC3	1	4
MFSD12	1	4
AKAP13	1	1
MAP2K2	1	6
TBC1D2B	1	6
ADGRA3	1	5
FTH1P3	1	5
FBXL22	1	5
FAM83F	1	1
SLX4	1	4
MAP4K4	1	7
STAT5B	1	2
GAST	1	2
SPTBN1	1	1
RGS1	1	1
C17orf99	1	1
STK40	1	2
TAOK2	1	2
ZBTB4	1	2
YWHAB	1	3
DYSF	1	2
G3BP2	1	5
LOC101928855	1	2
SMG6	1	2
